ID_ANONIMIZADO;LATITUD;LONGITUD;DISTRITO;REGION
10014;-29,90239;-71,25124;Coquimbo;IV
11557;-29,93615;-71,24047;Coquimbo;IV
11705;-31,8833062;-70,7229848;Coquimbo;IV
11925;-29,9344514;-71,2824629;Coquimbo;IV
13004;-29,9731578;-71,0885849;Coquimbo;IV
13005;-29,9683381;-71,3411263;Coquimbo;IV
13007;31,43497;-91,86326;Coquimbo;IV
13015;-29,96142661;-71,29936244;Coquimbo;IV
13025;-29,91003999;-71,24372998;Coquimbo;IV
13029;-29,9139497;-71,2583059;Coquimbo;IV
13030;-29,9248354;-71,2445546;Coquimbo;IV
13031;-30,76582519;-70,94019482;Coquimbo;IV
13034;-29,95012639;-71,27193418;Coquimbo;IV
13035;-29,96168204;-71,30360675;Coquimbo;IV
13041;-29,9280228;-71,2473125;Coquimbo;IV
13042;-29,8984723;-71,24797016;Coquimbo;IV
13045;-29,90238102;-71,25123872;Coquimbo;IV
13046;-29,9451751;-71,267694;Coquimbo;IV
13049;-29,91907766;-71,25097422;Coquimbo;IV
13050;-29,9573595;-71,2853125;Coquimbo;IV
13051;-29,97076098;-71,33864632;Coquimbo;IV
13055;-29,9078903;-71,2534694;Coquimbo;IV
13058;-29,9842928;-71,3610103;Coquimbo;IV
13059;-29,95012639;-71,27193418;Coquimbo;IV
13060;-29,92842945;-71,27920333;Coquimbo;IV
13064;-29,92325963;-71,23848181;Coquimbo;IV
13069;21,11224186;-86,93252988;Coquimbo;IV
13070;-29,960876;-71,3346744;Coquimbo;IV
13071;-29,9843006;-71,3533572;Coquimbo;IV
13072;-29,8830866;-71,2380684;Coquimbo;IV
13073;-29,86597;-71,24389996;Coquimbo;IV
13077;-29,9057981;-71,2651865;Coquimbo;IV
13078;-29,6233173;-71,2853917;Coquimbo;IV
13079;-29,95740894;-71,26337724;Coquimbo;IV
13081;-29,9731578;-71,0885849;Coquimbo;IV
13086;-29,9363797;-71,2472346;Coquimbo;IV
13089;-29,90258002;-71,24858997;Coquimbo;IV
13091;-29,93542002;-71,24369997;Coquimbo;IV
13105;-29,9731578;-71,0885849;Coquimbo;IV
13106;-29,9131372;-71,2557953;Coquimbo;IV
13117;-29,985832;-71,3669586;Coquimbo;IV
13332;-29,96889624;-71,25850861;Coquimbo;IV
13335;-29,93701437;-71,24387086;Coquimbo;IV
13342;-29,94258949;-71,28724721;Coquimbo;IV
13345;-29,9063687;-71,2475211;Coquimbo;IV
13346;-29,95753636;-71,29381183;Coquimbo;IV
14493;-29,91741926;-71,27550674;Coquimbo;IV
14646;-29,9793751;-71,3414121;Coquimbo;IV
14779;-29,87248002;-71,22553999;Coquimbo;IV
14846;-29,93801979;-71,28233349;Coquimbo;IV
16039;31,43497;-91,86326;Coquimbo;IV
16095;-29,9015;-71,24567;Coquimbo;IV
16098;-29,62469;-71,28336;Coquimbo;IV
16541;-29,94742121;-71,29198978;Coquimbo;IV
16829;-29,8786406;-71,2501949;Coquimbo;IV
16892;-29,92668;-71,25012001;Coquimbo;IV
19342;-29,94742121;-71,29198978;Coquimbo;IV
19934;-29,9575832;-71,2456863;Coquimbo;IV
19937;-33,0396903;-71,5491228;Coquimbo;IV
19941;-29,967653;-71,3438988;Coquimbo;IV
19948;-29,9176978;-71,2570865;Coquimbo;IV
19961;-29,9225676;-71,2551226;Coquimbo;IV
19986;-29,98483725;-71,36197569;Coquimbo;IV
19992;-29,86557496;-71,24538993;Coquimbo;IV
19994;-29,93181002;-71,25707003;Coquimbo;IV
20012;-29,95482423;-71,33855919;Coquimbo;IV
20019;-29,96170659;-71,34362407;Coquimbo;IV
20020;-29,96170659;-71,34362407;Coquimbo;IV
20025;31,43497;-91,86326;Coquimbo;IV
20026;-29,87345001;-71,24434001;Coquimbo;IV
20027;-29,87345001;-71,24434001;Coquimbo;IV
20032;-29,9390654;-71,3398598;Coquimbo;IV
20042;-29,9866591;-71,3397629;Coquimbo;IV
20043;-29,9866591;-71,3397629;Coquimbo;IV
20046;-29,9371083;-71,2560825;Coquimbo;IV
20062;-29,96136998;-71,29076471;Coquimbo;IV
20068;-29,9115481;-71,246834;Coquimbo;IV
20077;-29,95914702;-71,26007887;Coquimbo;IV
20086;-29,9793751;-71,3414121;Coquimbo;IV
20128;-29,9199784;-71,2132804;Coquimbo;IV
20137;-29,98333;-71,06667;Coquimbo;IV
20157;-29,93089002;-71,28015999;Coquimbo;IV
20162;-29,8786406;-71,2501949;Coquimbo;IV
20220;-29,9541;-71,33815;Coquimbo;IV
20222;-29,94891253;-71,28890427;Coquimbo;IV
20263;-29,87225999;-71,23377999;Coquimbo;IV
20264;-29,9383393;-71,2567545;Coquimbo;IV
20265;-29,92614;-71,25287002;Coquimbo;IV
20283;31,43497;-91,86326;Coquimbo;IV
20286;-29,94860751;-71,28213392;Coquimbo;IV
20289;-29,9220794;-71,2252343;Coquimbo;IV
20301;-29,92608495;-71,2572499;Coquimbo;IV
20303;-29,7512027;-71,0263163;Coquimbo;IV
20304;-29,9554762;-71,3360261;Coquimbo;IV
20306;-29,9573595;-71,2853125;Coquimbo;IV
20309;-29,990536;-71,3431154;Coquimbo;IV
20312;-29,9584342;-71,2467301;Coquimbo;IV
20316;-29,9196089;-71,2157133;Coquimbo;IV
20324;-29,9825516;-71,337623;Coquimbo;IV
20343;-29,8786406;-71,2501949;Coquimbo;IV
20345;-29,990536;-71,3431154;Coquimbo;IV
20350;-29,9523503;-71,2671159;Coquimbo;IV
20361;-29,9782232;-71,3412493;Coquimbo;IV
20372;-29,9581065;-71,3354935;Coquimbo;IV
20378;-29,9731578;-71,0885849;Coquimbo;IV
20409;-29,90505782;-71,25532006;Coquimbo;IV
20433;-29,96516946;-71,34157932;Coquimbo;IV
20462;-29,92666001;-71,25642001;Coquimbo;IV
20471;-29,95813578;-71,27023972;Coquimbo;IV
20475;-29,9131372;-71,2557953;Coquimbo;IV
20528;39,0348719;-5,7118162;Coquimbo;IV
20530;-29,9422163;-71,1218046;Coquimbo;IV
20533;-29,9442838;-71,2492429;Coquimbo;IV
20536;-29,91878001;-71,24828999;Coquimbo;IV
20539;-29,95993803;-71,29867498;Coquimbo;IV
20547;-29,9732862;-71,3306634;Coquimbo;IV
20557;-29,9756649;-71,3259023;Coquimbo;IV
20560;-29,91801001;-71,24651998;Coquimbo;IV
20568;-29,9772232;-71,33137666;Coquimbo;IV
20578;-29,98224048;-71,338923;Coquimbo;IV
20580;-29,9772449;-71,3386942;Coquimbo;IV
20598;-29,92271;-71,25255998;Coquimbo;IV
20606;-29,9673945;-71,2540791;Coquimbo;IV
20631;-29,93147907;-71,24191177;Coquimbo;IV
20632;-29,93147907;-71,24191177;Coquimbo;IV
20636;31,43497;-91,86326;Coquimbo;IV
20638;-29,9815396;-71,3427481;Coquimbo;IV
20640;-29,92612998;-71,24969001;Coquimbo;IV
20642;-29,93905999;-71,25892;Coquimbo;IV
20648;-29,983082;-71,3430914;Coquimbo;IV
20650;-29,9280228;-71,2473125;Coquimbo;IV
20654;-29,93488999;-71,28241003;Coquimbo;IV
20659;-29,9872882;-71,3429548;Coquimbo;IV
20683;-29,91510985;-71,24606551;Coquimbo;IV
20686;-29,9463999;-71,2585673;Coquimbo;IV
20692;-29,9584535;-71,264326;Coquimbo;IV
20695;-29,9541;-71,33815;Coquimbo;IV
20707;-29,91169001;-71,24808002;Coquimbo;IV
20718;-29,9742577;-71,0606706;Coquimbo;IV
20732;-29,8726322;-71,23276233;Coquimbo;IV
20736;-29,91378;-71,22055997;Coquimbo;IV
20739;-29,96136998;-71,29076471;Coquimbo;IV
20753;-29,91913;-71,24689004;Coquimbo;IV
20770;-29,9098881;-71,2552411;Coquimbo;IV
20789;-29,9098881;-71,2552411;Coquimbo;IV
20806;-36,9369998;-73,0205331;Coquimbo;IV
20809;-29,9248098;-71,2466733;Coquimbo;IV
20814;-29,91003999;-71,24372998;Coquimbo;IV
20864;-31,51541667;-68,52705657;Coquimbo;IV
20867;-29,9869866;-71,3409534;Coquimbo;IV
20871;-29,96050216;-71,24882262;Coquimbo;IV
20889;-29,980736;-71,3390935;Coquimbo;IV
20890;-29,90496999;-71,26253;Coquimbo;IV
20901;-40,5818705;-73,1137269;Coquimbo;IV
20903;-29,9383393;-71,2567545;Coquimbo;IV
20937;-29,9799652;-71,3451749;Coquimbo;IV
21014;-29,9636373;-71,2550672;Coquimbo;IV
21017;-29,9636373;-71,2550672;Coquimbo;IV
21043;-29,95774274;-71,26948307;Coquimbo;IV
21088;-29,928846;-71,2508011;Coquimbo;IV
21097;-29,93147001;-71,24428997;Coquimbo;IV
21133;-29,88761244;-71,22175411;Coquimbo;IV
21173;-29,9142206;-71,2550465;Coquimbo;IV
21179;-29,96534022;-71,29973321;Coquimbo;IV
21203;-29,97588676;-71,33946557;Coquimbo;IV
21214;-29,9411407;-71,257978;Coquimbo;IV
21230;-29,90591677;-71,27374564;Coquimbo;IV
21231;-29,8435318;-71,2775887;Coquimbo;IV
21247;-29,93367;-71,26086996;Coquimbo;IV
21266;-29,93408001;-71,2558;Coquimbo;IV
21278;-29,91552;-71,24533997;Coquimbo;IV
21280;-30,02711;-70,79883;Coquimbo;IV
21283;-29,9866591;-71,3397629;Coquimbo;IV
21287;-29,91552;-71,24533997;Coquimbo;IV
21307;-29,95232743;-71,27159043;Coquimbo;IV
21316;-29,92932001;-71,25172003;Coquimbo;IV
21322;-29,9869722;-71,3425424;Coquimbo;IV
21332;-29,93089002;-71,28015999;Coquimbo;IV
21335;-29,916475;-71,2475576;Coquimbo;IV
21340;-29,9869722;-71,3425424;Coquimbo;IV
21341;-29,9588863;-71,2530396;Coquimbo;IV
21365;-29,9884746;-71,3441425;Coquimbo;IV
21393;-33,0564041;-60,6187572;Coquimbo;IV
21397;-29,986968;-71,33801643;Coquimbo;IV
21405;-29,86662002;-71,23783004;Coquimbo;IV
21434;-29,92236998;-71,24901997;Coquimbo;IV
21471;-29,9978298;-71,326602;Coquimbo;IV
21472;-29,97023375;-71,33893817;Coquimbo;IV
21474;-29,9814524;-71,3498448;Coquimbo;IV
21490;-29,94742121;-71,29198978;Coquimbo;IV
21503;-29,9063687;-71,2475211;Coquimbo;IV
21525;-29,91289001;-71,24575999;Coquimbo;IV
21527;-29,96042935;-71,29722857;Coquimbo;IV
21536;-29,9896127;-71,340711;Coquimbo;IV
21538;-29,9753363;-71,3243381;Coquimbo;IV
21561;-15,39944;-74,60472;Coquimbo;IV
21562;-29,9699389;-71,3301771;Coquimbo;IV
21574;-29,9153419;-71,2317797;Coquimbo;IV
21581;-29,9236632;-71,2142926;Coquimbo;IV
21586;-29,8726322;-71,23276233;Coquimbo;IV
21587;-29,8360917;-71,279199;Coquimbo;IV
21588;40,10715834;-3,699310865;Coquimbo;IV
21595;-29,900736;-71,2458658;Coquimbo;IV
21599;-29,9078687;-71,2422971;Coquimbo;IV
21632;-29,9793751;-71,3414121;Coquimbo;IV
21634;-29,9793751;-71,3414121;Coquimbo;IV
21637;-29,9199784;-71,2132804;Coquimbo;IV
21653;-29,9310313;-71,2434145;Coquimbo;IV
21671;-30,2618684;-71,4878128;Coquimbo;IV
21672;-29,97561992;-71,34203638;Coquimbo;IV
21686;-29,93102585;-71,2483651;Coquimbo;IV
21693;-29,95243587;-71,22731715;Coquimbo;IV
21742;-29,90281476;-71,22981504;Coquimbo;IV
21760;-30,1997064;-71,4217408;Coquimbo;IV
21788;-31,798012;-65,0046229;Coquimbo;IV
21791;-29,96113077;-71,30060318;Coquimbo;IV
21793;-29,96113077;-71,30060318;Coquimbo;IV
21845;-29,9731578;-71,0885849;Coquimbo;IV
21869;-30,452222;-70,68018852;Coquimbo;IV
21875;-29,8878643;-71,21956115;Coquimbo;IV
21906;-29,9881465;-71,3390945;Coquimbo;IV
21908;-29,9115481;-71,246834;Coquimbo;IV
21913;-29,9592109;-71,3447305;Coquimbo;IV
21918;-29,87351996;-71,24729493;Coquimbo;IV
21922;-29,9034968;-71,2627771;Coquimbo;IV
21943;-29,91865001;-71,24804004;Coquimbo;IV
21952;-29,9215403;-71,2485553;Coquimbo;IV
21956;-29,9215057;-71,2366337;Coquimbo;IV
21973;-29,96022435;-71,34135327;Coquimbo;IV
22062;31,43497;-91,86326;Coquimbo;IV
22116;-29,9636476;-71,25953229;Coquimbo;IV
22127;-29,9507968;-71,2627111;Coquimbo;IV
22138;-29,9517881;-71,2696156;Coquimbo;IV
22254;-29,95924679;-71,25175934;Coquimbo;IV
22301;-29,93754999;-71,25619001;Coquimbo;IV
22305;-29,91907766;-71,25097422;Coquimbo;IV
22322;-29,9168131;-71,213298;Coquimbo;IV
22349;-29,92462148;-71,23646991;Coquimbo;IV
22379;-29,9815396;-71,3427481;Coquimbo;IV
22385;-29,88251382;-71,245114;Coquimbo;IV
22392;-29,98494496;-71,34186492;Coquimbo;IV
22406;-29,93282997;-71,25982994;Coquimbo;IV
22413;-29,9559873;-71,2647036;Coquimbo;IV
22445;-29,9793751;-71,3414121;Coquimbo;IV
22461;-29,9513777;-71,2642755;Coquimbo;IV
22470;-37,4723686;-72,3725345;Coquimbo;IV
22475;31,43497;-91,86326;Coquimbo;IV
22495;-29,90448263;-71,24180371;Coquimbo;IV
22514;-29,94069369;-71,28670291;Coquimbo;IV
22544;-29,9681096;-71,3470352;Coquimbo;IV
22554;-29,96845443;-71,34868659;Coquimbo;IV
22596;-29,9538076;-71,2657419;Coquimbo;IV
22654;-29,92735998;-71,25537999;Coquimbo;IV
22665;-29,9730277;-71,3332101;Coquimbo;IV
22705;-29,91763002;-71,25071998;Coquimbo;IV
22710;-29,91120001;-71,22366001;Coquimbo;IV
22717;-29,91763002;-71,25071998;Coquimbo;IV
22726;-29,9371083;-71,2560825;Coquimbo;IV
